DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,
Date:, November 21 2024 13:23:20,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,
,,,,,,,
,,,,,,,
Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable
,,,,,,,
integer,id,ID of each record,,,,,
double,Cell ID: 106 (X): T (msec),(X): Cell ID: 106 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 106 (Y),Raw Ci on CYm API F(t) for Cell ID: 106 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (X): T (msec),(X): Cell ID: 115 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (Y),Raw Ci on CYm API F(t) for Cell ID: 115 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (X): T (msec),(X): Cell ID: 117 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (Y),Raw Ci on CYm API F(t) for Cell ID: 117 (Y),,TRUE,FALSE,FALSE,
,,,,,,,
,,,,,,,
id,Cell ID: 106 (X): T (msec),Cell ID: 106 (Y),Cell ID: 115 (X): T (msec),Cell ID: 115 (Y),Cell ID: 117 (X): T (msec),Cell ID: 117 (Y),
1,0,133.746875,0,128.0737665,0,130.0364372,
2,10.01,133.8931641,10.01,128.4350269,10.01,130.7651822,
3,20.02,133.9101563,20.02,128.2867611,20.02,130.3562753,
4,30.03,133.9019531,30.03,128.6143136,30.03,130.1417004,
5,40.04,133.5851563,40.04,128.1372741,40.04,130.5222672,
6,50.05,133.8964844,50.05,128.3917929,50.05,129.3603239,
7,60.06,133.8050781,60.06,128.2789448,60.06,129.6518219,
8,70.07,134.3113281,70.07,128.4338056,70.07,129.2024291,
9,80.08,134.65625,80.08,128.5332193,80.08,130.2550607,
10,90.09,134.4306641,90.09,128.3253542,90.09,130.0809717,
11,100.1,134.3777344,100.1,128.629702,100.1,130.8744939,
12,110.11,134.2105469,110.11,128.455789,110.11,128.9757085,
13,120.12,134.0419922,120.12,127.9543234,120.12,129.8947368,
14,130.13,134.2337891,130.13,128.5679043,130.13,130.0202429,
15,140.14,134.2763672,140.14,128.345872,140.14,130.0121457,
16,150.15,133.9164063,150.15,128.2564729,150.15,129.5870445,
17,160.16,133.7060547,160.16,128.2916463,160.16,130.5546559,
18,170.17,133.5931641,170.17,128.3920371,170.17,129.7246964,
19,180.18,133.8615234,180.18,128.51319,180.18,130.2672065,
20,190.19,133.7332031,190.19,128.4736199,190.19,130.5668016,
21,200.2,134.1021484,200.2,128.43234,200.2,129.8704453,
22,210.21,133.8537109,210.21,128.709575,210.21,129.1781377,
23,220.22,134.3761719,220.22,128.5278456,220.22,129.5263158,
24,230.23,133.9289063,230.23,128.605276,230.23,129.4129555,
25,240.24,134.2632813,240.24,128.7173913,240.24,130.3117409,
26,250.25,133.8271484,250.25,128.3583293,250.25,128.9311741,
27,260.26,134.1855469,260.26,128.4098681,260.26,130.0161943,
28,270.27,133.9695313,270.27,128.6546165,270.27,129.2793522,
29,280.28,133.7863281,280.28,128.5639961,280.28,129.5506073,
30,290.29,133.803125,290.29,128.8111871,290.29,129.5303644,
31,300.3,134.1587891,300.3,128.8131412,300.3,130.1862348,
32,310.31,134.1697266,310.31,128.3986321,310.31,130.2510121,
33,320.32,134.0033203,320.32,128.1631656,320.32,130.0931174,
34,330.33,133.8958984,330.33,128.3192477,330.33,129.3643725,
35,340.34,133.8654297,340.34,128.2232535,340.34,129.8785425,
36,350.35,133.8373047,350.35,128.2979971,350.35,129.659919,
37,360.36,133.7710938,360.36,128.455789,360.36,131.1376518,
38,370.37,133.8328125,370.37,128.2366878,370.37,130.5465587,
39,380.38,133.9201172,380.38,128.6697606,380.38,130.1214575,
40,390.39,134.3208984,390.39,129.1744016,390.39,130.0688259,
41,400.4,134.9490234,400.4,129.0151441,400.4,130.0364372,
42,410.41,135.0367188,410.41,129.0476307,410.41,130.2672065,
43,420.42,134.9419922,420.42,128.8226673,420.42,130.3481781,
44,430.43,135.0583984,430.43,128.7618466,430.43,130.0890688,
45,440.44,134.9060547,440.44,128.6123596,440.44,130.6761134,
46,450.45,134.9955078,450.45,128.969956,450.45,129.2672065,
47,460.46,135.0087891,460.46,129.2088422,460.46,130.1578947,
48,470.47,134.7724609,470.47,129.3683439,470.47,130.5546559,
49,480.48,135.2431641,480.48,130.2000489,480.48,130.4898785,
50,490.49,134.9417969,490.49,130.3356131,490.49,129.562753,
51,500.5,134.8625,500.5,130.2740596,500.5,130.0404858,
52,510.51,134.6625,510.51,130.0232047,510.51,130.6680162,
53,520.52,134.5318359,520.52,129.7120176,520.52,130,
54,530.53,134.5052734,530.53,129.5637518,530.53,129.2024291,
55,540.54,134.5597656,540.54,129.474597,540.54,131.2348178,
56,550.55,134.3945313,550.55,129.2672203,550.55,129.48583,
57,560.56,134.4992188,560.56,129.0134343,560.56,129.51417,
58,570.57,134.0769531,570.57,128.8153395,570.57,129.708502,
59,580.58,133.8724609,580.58,128.857108,580.58,130.8097166,
60,590.59,133.9671875,590.59,129.0317538,590.59,130.145749,
61,600.6,134.0253906,600.6,129.1218857,600.6,129.5222672,
