DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, December 16 2019 10:10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,id,ID of each record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,T (index),Time (index),,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,T (msec),Time (msec),,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 27,Raw Ci on CYm API F(t) for Cell ID: 27,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 36,Raw Ci on CYm API F(t) for Cell ID: 36,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 246,Raw Ci on CYm API F(t) for Cell ID: 246,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 269,Raw Ci on CYm API F(t) for Cell ID: 269,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 287,Raw Ci on CYm API F(t) for Cell ID: 287,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 326,Raw Ci on CYm API F(t) for Cell ID: 326,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 352,Raw Ci on CYm API F(t) for Cell ID: 352,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 365,Raw Ci on CYm API F(t) for Cell ID: 365,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 374,Raw Ci on CYm API F(t) for Cell ID: 374,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 467,Raw Ci on CYm API F(t) for Cell ID: 467,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 519,Raw Ci on CYm API F(t) for Cell ID: 519,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 525,Raw Ci on CYm API F(t) for Cell ID: 525,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 568,Raw Ci on CYm API F(t) for Cell ID: 568,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 600,Raw Ci on CYm API F(t) for Cell ID: 600,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 615,Raw Ci on CYm API F(t) for Cell ID: 615,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 618,Raw Ci on CYm API F(t) for Cell ID: 618,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 622,Raw Ci on CYm API F(t) for Cell ID: 622,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 631,Raw Ci on CYm API F(t) for Cell ID: 631,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 639,Raw Ci on CYm API F(t) for Cell ID: 639,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 641,Raw Ci on CYm API F(t) for Cell ID: 641,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 653,Raw Ci on CYm API F(t) for Cell ID: 653,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 655,Raw Ci on CYm API F(t) for Cell ID: 655,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 678,Raw Ci on CYm API F(t) for Cell ID: 678,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 688,Raw Ci on CYm API F(t) for Cell ID: 688,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 701,Raw Ci on CYm API F(t) for Cell ID: 701,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 957,Raw Ci on CYm API F(t) for Cell ID: 957,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 970,Raw Ci on CYm API F(t) for Cell ID: 970,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 976,Raw Ci on CYm API F(t) for Cell ID: 976,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 979,Raw Ci on CYm API F(t) for Cell ID: 979,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1006,Raw Ci on CYm API F(t) for Cell ID: 1006,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1014,Raw Ci on CYm API F(t) for Cell ID: 1014,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1019,Raw Ci on CYm API F(t) for Cell ID: 1019,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1022,Raw Ci on CYm API F(t) for Cell ID: 1022,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1045,Raw Ci on CYm API F(t) for Cell ID: 1045,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1050,Raw Ci on CYm API F(t) for Cell ID: 1050,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
