Time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12
0,-8.892496949,-18.4003167,-7.442336995,-16.22751708,1.1244062,-18.08142932,-37.78767834,-27.88156679,-27.27107705,-16.20517282,-15.20538163,-24.9371203
2,-21.86940252,-6.386153747,-17.41630944,-6.193159315,16.15326881,-20.06859013,-20.7487832,-26.83260272,-39.21884831,-20.1634003,-8.202983711,-34.89564294
4,-17.84630809,-9.371990794,-26.39028189,-33.15880155,-5.817868583,-16.05575095,-8.709888069,-15.78363865,-43.16661957,-23.12162778,-19.20058579,-40.85416559
6,-11.82321366,-25.35782784,-37.36425434,-19.12444379,-15.78900597,-12.04291176,-47.67099294,-31.73467458,-32.11439083,-18.07985525,-14.19818787,-27.81268824
8,-19.80011923,-16.34366489,-14.33822679,-24.09008602,4.239856634,2.969927428,-27.6320978,-48.68571051,-33.06216209,-19.03808273,-14.19578995,-18.77121088
10,-4.777024801,-25.32950194,-18.31219924,-32.05572826,-19.73128076,-3.017233385,-22.59320267,-22.63674644,-33.00993335,-18.99631021,-24.19339203,-0.729733532
12,-6.753930372,-27.31533898,-10.28617169,-33.0213705,-0.702418149,-20.0043942,-15.55430753,-37.58778237,-57.95770461,-12.95453768,-12.1909941,-3.68825618
14,-3.730835942,-20.30117603,-28.26014414,-1.987012731,7.326444459,-13.99155501,-24.5154124,-49.5388183,-41.90547587,-21.91276516,-10.18859618,-16.64677883
16,-5.707741513,-5.287013077,-27.23411659,-20.95265497,-0.644692932,-17.97871582,-32.47651727,-34.48985423,-20.85324713,-8.870992634,-2.18619826,-47.60530147
18,-30.68464708,-8.272850124,-25.20808904,-31.9182972,-15.61583032,-1.965876636,-43.43762213,-39.44089016,-21.80101839,-19.82922011,5.816199661,-27.56382412
20,-13.66155265,-2.258687172,-36.18206149,-25.88393944,-1.586967716,2.046962551,-32.398727,-28.39192609,-42.74878965,-8.787447586,-15.18140242,-13.52234677
22,3.361541776,-10.24452422,-21.15603393,-33.84958168,-5.558105107,-23.94019826,-22.35983187,-50.34296202,-27.69656091,2.254324938,-13.1790045,-1.480869417
24,-19.61536379,4.769638734,-7.130006383,-25.81522391,-12.5292425,9.072640926,-31.32093673,-48.29399795,-55.64433217,-4.703902538,-7.176606574,-35.43939206
26,6.407730635,-25.21619831,-33.10397883,-19.78086615,-7.50037989,-12.91451989,-12.2820416,-25.24503388,-17.59210343,6.337869985,-21.17420865,-25.39791471
28,-8.569174935,-5.20203536,-10.07795128,-9.746508383,-10.47151728,-4.9016807,-21.24314647,-40.1960698,-35.53987469,-2.620357491,-6.171810731,-20.35643736
30,-2.546080506,-5.187872408,-6.05192373,-13.71215062,4.557345327,-5.888841513,-11.20425133,-29.14710573,-45.48764595,-15.57858497,-8.16941281,-14.31496001
32,-19.52298608,-0.173709455,-31.02589618,-11.67779286,-9.413792065,-13.87600233,-26.1653562,-25.09814166,-22.43541721,-17.53681244,-8.167014888,-11.27348265
34,-12.49989165,-20.1595465,-24.99986863,1.356564909,-9.384929457,-3.863163139,-20.12646107,-24.04917759,-38.38318847,23.50496008,-24.16461697,-27.2320053
36,-6.476797217,-8.145383549,-20.97384108,-23.60907733,-7.356066848,10.14967605,-12.08756593,-16.00021352,-26.33095973,-14.4532674,-21.16221904,-33.19052795
38,0.546297212,-6.131220596,-13.94781353,-32.57471956,-6.32720424,-2.837484764,-22.0486708,-37.95124945,-26.27873099,-4.411494872,-12.15982112,-33.1490506
40,0.569391642,-19.11705764,-19.92178598,-13.5403618,-19.29834163,-5.824645577,-14.00977567,-14.90228538,-34.22650225,-3.369722348,-32.1574232,-24.10757324
42,-12.40751393,-8.102894691,-11.89575842,-20.50600404,-11.26947902,7.18819361,-19.97088053,-17.85332131,-44.17427351,-12.32794982,-14.15502528,-18.06609589
44,-29.3844195,-17.08873174,-16.86973087,-4.471646271,-1.240616414,-17.7989672,-15.9319854,-11.80435724,-32.12204477,10.7138227,-5.152627359,-31.02461854
46,-8.361325069,-23.07456879,-18.84370332,-23.43728851,3.788246194,-3.786128015,-20.89309027,-32.75539317,-26.06981603,-10.24440478,-3.150229437,-22.98314119
48,-19.33823064,-21.06040583,-8.817675771,-12.40293074,4.817108802,-22.77328883,-23.85419513,-35.7064291,-25.01758729,1.797367748,-16.14783152,-13.94166383
50,-0.31513621,-19.04624288,-19.79164822,-15.36857298,-13.15402859,-9.760449641,-18.8153,-25.65746503,-23.96535855,-17.16085973,-27.14543359,-15.90018648
52,-13.29204178,-33.03207993,-16.76562067,-28.33421522,-13.12516598,-5.747610454,-10.77640486,-32.60850096,-27.91312981,-18.1190872,-20.14303567,-8.858709127
54,-6.268947351,-15.01791697,-7.739593118,-8.299857451,9.903696628,-15.73477127,-18.73750973,-13.55953689,-26.86090107,-22.07731468,-22.14063775,-34.81723177
56,-24.24585292,-25.00375402,-26.71356557,-17.26549969,-23.06744076,3.27806792,-27.6986146,-37.51057282,-29.80867233,1.964457843,9.861760171,-21.77575442
58,-19.22275849,8.010408932,-30.68753802,-34.23114192,-9.038578156,-12.70909289,-16.65971946,-35.46160874,-22.75644359,-0.993769633,-2.135841908,-26.73427707
60,-30.19966406,-8.975428115,-15.66151046,-17.19678416,-6.009715547,-10.69625371,-22.62082433,-14.41264467,-27.70421485,-11.95199711,-20.13344399,-4.692799717
